# Per-particle forces (Hartree/Bohr). Reference: cav-hoomd.
# particle  Fx_openmm  Fy_openmm  Fz_openmm  Fx_hoomd  Fy_hoomd  Fz_hoomd  max_abs_diff
179  -1.184480e-02  -1.056015e-02  -4.057484e-03  -1.184259e-02  -1.056000e-02  -4.060019e-03  2.534618e-06
180  -5.736428e-04  -1.259012e-02  6.023044e-03  -5.747251e-04  -1.259068e-02  6.025394e-03  2.349397e-06
181  3.152725e-04  1.174427e-02  -5.464171e-03  3.145969e-04  1.174742e-02  -5.464081e-03  3.148063e-06
182  2.112569e-02  2.124356e-02  3.766217e-02  2.073742e-02  2.089822e-02  3.705891e-02  6.032654e-04
183  -2.030763e-02  -2.154619e-02  -3.893519e-02  -1.991936e-02  -2.119913e-02  -3.833067e-02  6.045159e-04
184  1.957005e-02  -5.681907e-03  -2.054504e-02  1.957151e-02  -5.677911e-03  -2.054866e-02  3.995891e-06
185  -1.918436e-02  5.928858e-03  1.946868e-02  -1.918438e-02  5.929092e-03  1.947097e-02  2.292925e-06
186  -7.583670e-03  -7.828965e-05  7.761858e-03  -7.585537e-03  -7.804543e-05  7.763255e-03  1.867369e-06
187  7.855164e-03  8.907757e-04  -6.382141e-03  7.856054e-03  8.892205e-04  -6.382247e-03  1.555163e-06
188  2.191524e-03  7.177565e-03  1.499257e-03  2.194175e-03  7.171462e-03  1.498822e-03  6.103372e-06
189  -9.002892e-04  -4.400052e-03  -2.091673e-04  -9.008726e-04  -4.394697e-03  -2.084863e-04  5.355210e-06
190  -4.335867e-03  -2.463163e-03  2.837880e-02  -4.334325e-03  -2.463024e-03  2.837490e-02  3.903541e-06
191  1.677611e-03  4.301463e-03  -2.868499e-02  1.676995e-03  4.302078e-03  -2.868165e-02  3.340701e-06
192  2.867576e-03  -3.203444e-03  -1.332995e-03  2.863874e-03  -3.203696e-03  -1.335411e-03  3.702123e-06
193  -4.372499e-03  3.591752e-03  1.890674e-03  -4.368758e-03  3.591109e-03  1.890255e-03  3.740317e-06
194  -2.172736e-03  -4.872536e-04  1.171141e-03  -2.170816e-03  -4.877602e-04  1.169552e-03  1.919678e-06
195  2.078984e-03  3.656899e-04  -2.155003e-04  2.076498e-03  3.653418e-04  -2.171779e-04  2.485714e-06
196  4.642809e-04  6.283967e-04  -2.987677e-03  4.669583e-04  6.286613e-04  -2.988279e-03  2.677413e-06
197  9.188383e-05  -3.159986e-05  2.263305e-03  9.505783e-05  -2.927093e-05  2.263255e-03  3.173999e-06
