# Real-time dipole moment data
# time_ps dipole_x dipole_y dipole_z
4.028250 123523.706610 152512.829871 184731.370199
4.028500 -428881.648869 -465908.259859 -280278.851080
4.028750 -363055.012797 -44184.360513 -41867.525357
4.029000 333728.413737 211375.851648 -30345.342659
4.029250 -301725.515213 653385.872924 -216548.572166
4.029500 -153962.123912 13204.145859 -22752.451595
4.029750 -408138.365662 -215083.915388 838528.696304
4.030000 190800.540639 460313.296984 -117284.803309
4.030250 -593279.948455 -154371.385010 -37381.396008
4.030500 -531578.579077 268079.875610 -1162580.272216
4.030750 284194.623035 146149.650128 465035.327746
4.031000 -496118.776488 64976.799038 -54146.356655
4.031250 -78034.869809 582506.816112 79040.107927
4.031500 37286.770598 167631.731566 -138060.072395
4.031750 210022.030940 -4214.486947 26036.535676
4.032000 -613749.668983 -157126.252891 -272399.419431
4.032250 -436304.396502 -427657.048950 246406.130103
4.032500 -386513.047668 19971.202054 83896.880288
4.032750 -60715.380813 210527.222854 35925.246424
4.033000 -645410.499144 -96895.503638 72713.196443
4.033250 105003.377827 69600.508041 343307.527117
4.033500 -122657.246742 -37652.311222 33204.877197
4.033750 447183.071288 456368.312931 136089.026099
4.034000 -203225.269575 -143229.138540 -13623.968802
4.034250 -121695.489235 -60801.533607 -14150.212487
4.034500 -488832.651272 34617.171405 99270.731581
4.034750 -529075.252300 109753.403102 -231779.511518
4.035000 7756.949522 -14144.696801 22342.424604
4.035250 -340322.295182 452960.586393 -30674.817476
4.035500 215149.657286 321219.772778 -199531.117585
4.035750 -471188.700433 359669.194034 -345896.128958
4.036000 -151995.937714 218150.365858 -419030.507079
4.036250 49398.568926 -28541.966767 -91568.104418
4.036500 -170073.409801 516800.016875 -38772.184653
4.036750 118553.505629 310063.278016 139728.895090
4.037000 -285950.631200 67714.269384 -92713.517844
4.037250 -452314.466150 -298027.939119 -153000.471700
4.037500 -199264.422004 -297365.405394 114990.560128
4.037750 238982.106360 429136.280296 10624.963960
4.038000 49897.717239 77757.656059 1708.694859
4.038250 83840.443776 -7442.347688 313170.807952
4.038500 -160490.040672 119865.023322 -275796.896296
4.038750 -143641.465559 -47203.078586 -205952.859702
4.039000 -16500.351024 237503.957568 -205720.694259
4.039250 82750.140974 472492.696368 -430286.106833
4.039500 -116191.826883 52737.876259 -60232.282895
4.039750 -263827.644654 339910.017121 312997.747373
4.040000 122760.088046 -122608.068544 377595.842676
4.040250 -469040.334113 477450.230445 -428110.543578
4.040500 -429967.280821 249719.733371 -185452.032227
4.040750 483577.293052 291278.604248 189659.816422
4.041000 41457.575953 -336188.000065 163384.188194
4.041250 -588033.029285 -78458.785813 -58538.583853
4.041500 -329736.787984 -137116.350513 -13857.151173
4.041750 5110.159115 -89695.046514 -35711.418311
4.042000 -369052.467623 -273326.167226 -91658.613170
4.042250 169821.348754 288609.821383 13177.470231
4.042500 43529.310517 181366.679559 757271.716028
4.042750 459548.006796 149899.242456 185991.422062
4.043000 -55717.901264 333474.802013 -207994.517353
4.043250 119629.000673 4360.373064 -133919.228441
4.043500 -251371.457866 95569.180228 -344470.124722
4.043750 158015.711287 -38676.610324 7631.149534
4.044000 -250777.290069 128934.542850 -208713.446949
4.044250 72958.281176 -351278.523520 -34818.657955
4.044500 -439080.685459 -101804.236935 -50862.614379
4.044750 370656.169208 -330043.710705 458585.049785
4.045000 -410526.862261 220362.397828 28666.071056
4.045250 46516.691724 284112.115805 336018.734099
4.045500 -100054.974957 169561.985020 -409736.407209
4.045750 -161732.463271 -275157.372410 -21604.957741
4.046000 389956.071595 119290.449760 70408.857455
4.046250 -39461.810184 -39194.316322 204096.159516
4.046500 -330782.440948 206789.487857 135413.034839
